country,region,region_regime,regime_binary,predictor,outcome,outcome_label,slope,se,p_value,sig,formatted_slope,model_n
Austria,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.28190717814952393,0.05088201448337821,3.912818568781942e-08,***,-0.28***,951
Austria,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.041543740097363724,0.0493981096518349,0.40056260807819605,,-0.04,946
Austria,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.13467644019865865,0.05070297639411115,0.008037620160110469,**,-0.13**,941
Austria,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.03744801369446904,0.08282642685996516,0.6512969238106403,,0.04,830
Austria,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.08398661651383499,0.04777370550323104,0.079069302279484,,-0.08,952
Austria,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.20350564325403298,0.05848039740052411,0.0005245044016269623,***,-0.20***,952
Austria,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.016120394938241134,0.0442450787958865,0.7156841017783946,,-0.02,941
Austria,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.05644368776968456,0.0694530082871597,0.41660995018630786,,-0.06,912
Austria,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,0.02514367497703196,0.04978210398252026,0.6136265100327059,,0.03,933
Austria,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.07271691108029632,0.04309837575463852,0.0918972064692679,,0.07,928
Austria,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.07686140933342056,0.031833024186927,0.015950489352167113,*,0.08*,925
Austria,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.06030277346622093,0.0663683537094572,0.36382768504058255,,-0.06,816
Austria,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.14260488669546056,0.03142329059584013,6.41899998793867e-06,***,-0.14***,934
Austria,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.1569574759149459,0.04140376909871011,0.00015979736100595672,***,-0.16***,934
Austria,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.19746936978232377,0.034295963365090824,1.1616438067001832e-08,***,0.20***,924
Austria,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6981924566628894,0.03816639808942118,9.574290529100798e-64,***,0.70***,900
Australia,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.09148156209502822,0.0618017063522088,0.13922273466529758,,-0.09,766
