country_code,country_name,c_sample_n,n,region,region_regime,regime_binary,row_2023,v2x_polyarchy,v2x_liberal,v2x_libdem,v2x_partipdem,cm_democracy_rights_liberal,cm_democracy_rights_all,cm_democracy_works_today,cm_ascriptive_membership,cm_civic_membership,cm_national_superiority,cm_nation_state_self_determination,cm_protective_sovereignty,cm_anti_immigrant_exclusion,cm_national_pride_non_democracy,cm_pride_democracy,cm_civic_minus_ethnic
208,Denmark,1,1254,West,Western democracies,Democracy,Liberal democracy,0.916,0.977,0.884,0.702,0.738823896820706,0.7769701573336408,0.7049984096457819,0.3521659790805762,0.8058571379430907,0.5983189490225885,0.6403539853994223,0.4749697139069197,0.425538504798155,0.6492091255256026,0.671706952800561,0.4536911588625145
752,Sweden,1,1607,West,Western democracies,Democracy,Liberal democracy,0.881,0.978,0.845,0.63,0.7510724331926862,0.7886287450240939,0.6716688227684348,0.24879832810867292,0.8052949760266834,0.49282334384858045,0.4856612685560054,0.42974326862867873,0.4430425509779442,0.5916104789998595,0.6733033611646327,0.5564966479180105
756,Switzerland,1,3202,West,Western democracies,Democracy,Liberal democracy,0.887,0.962,0.841,0.787,0.7321847533004167,0.7660821012897138,0.7420814479638009,0.35663642998644557,0.7788728966764009,0.5785729232056916,0.6512426422498365,0.49681664058424624,0.4243969298245614,0.6742480146180336,0.7877515875578518,0.42223646668995535
578,Norway,1,1132,West,Western democracies,Democracy,Liberal democracy,0.884,0.953,0.833,0.636,0.7416020671834626,0.786402728351127,0.7207839562443027,0.33147653000594174,0.8222420281243811,0.4996630727762803,0.5767543859649122,0.48188036083998814,0.4247345132743363,0.6816167012961314,0.7317518248175182,0.49076549811843934
246,Finland,1,1369,West,Western democracies,Democracy,Liberal democracy,0.865,0.971,0.825,0.605,0.7614376011859054,0.7953743143974581,0.6997717290121429,0.3494889525123716,0.7957114330490404,0.5435327317780256,0.6697055599570739,0.511898967662351,0.45135517529319424,0.6362691755724134,0.6870644933114352,0.44622248053666874
554,New Zealand,1,1191,West,Western democracies,Democracy,Liberal democracy,0.878,0.951,0.825,0.66,0.729505284392555,0.7686906884358939,0.6471035709152921,0.31641186548381417,0.7958694575833681,0.49911324262714085,0.5044003828939029,0.5414596606743408,0.3393508778972056,0.6469757433188856,0.6647610495579961,0.47945759209955396
276,Germany,2,1545,West,Western democracies,Democracy,Liberal democracy,0.854,0.969,0.812,0.616,0.8619704478213918,0.8683422155663569,0.6014950181314835,0.35864063433627796,0.7570684689598248,0.423776932488876,0.6052469700311276,0.41988449276492756,0.43382272706475655,0.5695655948999436,0.6197027611712095,0.39842783462354686
250,France,1,1905,West,Western democracies,Democracy,Liberal democracy,0.876,0.93,0.81,0.611,0.7645383048581166,0.8010375458450887,0.44852632836817163,0.36717430428424214,0.833709200737402,0.44740194727989596,0.6589353651793284,0.5251977938574779,0.5016052649327739,0.5804777708587914,0.46186895785112736,0.4665348964531598
36,Australia,1,993,West,Western democracies,Democracy,Liberal democracy,0.855,0.957,0.804,0.637,0.7340040940189375,0.7831623201451938,0.6745797996914858,0.27506165016907763,0.8083707715934213,0.5557843284840952,0.5466782256790839,0.6053969707735247,0.4067244033473067,0.6581393090247146,0.7041560783375473,0.5333091214243437
528,Netherlands,1,1509,West,Western democracies,Democracy,Liberal democracy,0.843,0.951,0.79,0.577,0.6531694243766022,0.7021937850631891,0.5659471685919704,0.36167799586267624,0.7535062149613304,0.5401441011019497,0.563654126763162,0.4700419315656175,0.507699223743589,0.6744513667159879,0.6563023585513598,0.3918282190986542
