country,n,weighted_n,region,region_regime,vdem_row_2023,regime_binary,grey_zone,core_west,democracy_rights_liberal,democracy_works_today,ascriptive_membership,civic_membership,national_superiority,nation_state_self_determination,protective_sovereignty,anti_immigrant_exclusion,national_pride_non_democracy,pride_democracy
South Korea,1230,1230.0000000000002,East Asia,East Asian democracies,LD-,Democracy,True,False,0.7410077288621298,0.668108512582382,0.5826621077339517,0.7523894328370067,0.6421515209913253,0.62583303233129,0.5515897661454872,0.5487155460089078,0.6661474558786482,0.6129634225689445
Taiwan,1563,1563.0,East Asia,East Asian democracies,LD,Democracy,False,False,0.8219819694967697,0.5717381255117238,0.4194454963577987,0.8542157649296311,0.5372157793155806,0.7381541654128474,0.43618199985091616,0.44533705610458374,0.6453994190535958,0.6065020374364914
Croatia,1400,1399.9999995000003,Eastern Europe,Eastern Europe democracies,ED,Democracy,False,False,0.7554672268240767,0.5216791406867622,0.6103374973310728,0.7495518334389336,0.5705404551167421,0.6218788225237198,0.6118124849710392,0.6412476805251479,0.6494982274240104,0.4729543681541421
Lithuania,1257,1257.0000000315101,Eastern Europe,Eastern Europe democracies,ED+,Democracy,True,False,0.7990966739655995,0.6116373565546473,0.6045283422026346,0.7754881768196786,0.5369049618713853,0.7115322484520378,0.5378036574149339,0.5413129233076925,0.6554787850428924,0.5066126772172911
Slovakia,1025,1025.016026534425,Eastern Europe,Eastern Europe democracies,ED,Democracy,False,False,0.7578963133801323,0.5246321444852001,0.61447850258657,0.7828381388938308,0.583820603718937,0.6959701933483431,0.6105574588773092,0.6480656580449633,0.594605176245963,0.42416824981366336
Slovenia,1039,1040.3972126364702,Eastern Europe,Eastern Europe democracies,ED+,Democracy,True,False,0.82860491648463,0.4696777713917319,0.4009318130534076,0.7463833852902738,0.5219525954816682,0.6575229851022821,0.5037603488523639,0.5285886616183477,0.6535345332581554,0.3609384874065297
Hungary,1023,1023.009671178946,Eastern Europe,Eastern Europe non-democracies,EA,Non-democracy,False,False,0.8301079363042307,0.46602907453481063,0.6079096652063002,0.7885010263651764,0.5376599821633452,0.698934772237686,0.5895402843089687,0.6886153140004578,0.5956563182906471,0.39991734706949855
Russia,1574,1574.0,Eastern Europe,Eastern Europe non-democracies,EA,Non-democracy,False,False,0.749324775384314,0.5799590529821046,0.6465061796219276,0.8996539164452706,0.7557399867255017,0.6448901951635614,0.6407324378582651,0.708712890310339,0.8074951753579509,0.6135528249608379
Israel,1197,1196.6410770025905,Other,Other democracies,ED+,Democracy,True,False,0.7595048198942191,0.48132097480728203,0.48457657309243274,0.8016071752355949,0.5567513529624064,0.7208822873792291,0.5659631852662215,0.5578819243696537,0.6219206523633972,0.4093298273857328
Mexico,1025,1025.0,Other,Other democracies,ED-,Democracy,True,False,0.8015407986111112,0.45968534906588004,0.5960433604336043,0.7808672086720866,0.541829268292683,0.6803763440860215,0.588520325203252,0.5853841145833334,0.6213053385416667,0.4425853018372703
South Africa,3112,3112.0000012540563,Other,Other democracies,ED,Democracy,False,False,0.7129478310397522,0.3892948085509795,0.728100000329673,0.8424873723095857,0.5716975576375181,0.5507052879193796,0.59666209713835,0.6499138156285197,0.5892665392994624,0.46452605017946297
