"outcome","model","term","est","se","t","p"
"anti_immigrant_exclusion","M1","(Intercept)",0.4068,0.0167,24.377,3.01e-131
"anti_immigrant_exclusion","M1","dr_cwc",-0.1246,0.0274,-4.551,5.34e-06
"anti_immigrant_exclusion","M1","dr_cm_c",0.2579,0.3252,0.793,0.428
"anti_immigrant_exclusion","M1","age_z",0.01,0.001,10.273,9.28e-25
"anti_immigrant_exclusion","M1","female",-0.0076,0.0018,-4.118,3.81e-05
"anti_immigrant_exclusion","M1","edu_z",-0.0351,0.001,-34.472,2.1e-260
"anti_immigrant_exclusion","M1","lr",0.2093,0.0039,53.501,0
"anti_immigrant_exclusion","M2","(Intercept)",0.4069,0.0104,38.944,0
"anti_immigrant_exclusion","M2","dr_cwc",-0.125,0.021,-5.949,2.69e-09
"anti_immigrant_exclusion","M2","dr_cm_c",0.1798,0.2269,0.793,0.428
"anti_immigrant_exclusion","M2","age_z",0.01,0.001,10.337,4.78e-25
"anti_immigrant_exclusion","M2","female",-0.0076,0.0018,-4.114,3.89e-05
"anti_immigrant_exclusion","M2","edu_z",-0.035,0.001,-34.402,2.38e-259
"anti_immigrant_exclusion","M2","lr",0.209,0.0039,53.41,0
"anti_immigrant_exclusion","M2","z_content",0.0714,0.0104,6.881,5.96e-12
"anti_immigrant_exclusion","M2","dr_cwc:z_content",0.0953,0.0212,4.486,7.27e-06
"anti_immigrant_exclusion","M3","(Intercept)",0.4069,0.0101,40.422,0
"anti_immigrant_exclusion","M3","dr_cwc",-0.1249,0.0208,-6.008,1.88e-09
"anti_immigrant_exclusion","M3","dr_cm_c",0.1599,0.219,0.73,0.465
"anti_immigrant_exclusion","M3","age_z",0.01,0.001,10.341,4.59e-25
"anti_immigrant_exclusion","M3","female",-0.0076,0.0018,-4.11,3.95e-05
"anti_immigrant_exclusion","M3","edu_z",-0.035,0.001,-34.412,1.69e-259
"anti_immigrant_exclusion","M3","lr",0.209,0.0039,53.404,0
"anti_immigrant_exclusion","M3","z_content",0.0592,0.0127,4.668,3.04e-06
"anti_immigrant_exclusion","M3","z_liberal",-0.0196,0.0127,-1.542,0.123
"anti_immigrant_exclusion","M3","dr_cwc:z_content",0.1078,0.0268,4.028,5.63e-05
"anti_immigrant_exclusion","M3","dr_cwc:z_liberal",0.0201,0.0268,0.752,0.452
"ascriptive_membership","M1","(Intercept)",0.3684,0.0275,13.417,4.8e-41
"ascriptive_membership","M1","dr_cwc",-0.0417,0.0268,-1.555,0.12
"ascriptive_membership","M1","dr_cm_c",0.2022,0.4763,0.425,0.671
"ascriptive_membership","M1","age_z",0.0249,0.0012,21.223,5.83e-100
"ascriptive_membership","M1","female",0.0032,0.0022,1.441,0.15
"ascriptive_membership","M1","edu_z",-0.0378,0.0012,-30.675,1.22e-206
"ascriptive_membership","M1","lr",0.189,0.0047,39.971,0
"ascriptive_membership","M2","(Intercept)",0.3684,0.0039,94.007,0
"ascriptive_membership","M2","dr_cwc",-0.0415,0.021,-1.974,0.0483
"ascriptive_membership","M2","dr_cm_c",0.0248,0.0604,0.41,0.682
"ascriptive_membership","M2","age_z",0.0248,0.0012,21.208,8.01e-100
"ascriptive_membership","M2","female",0.0031,0.0022,1.399,0.162
"ascriptive_membership","M2","edu_z",-0.0374,0.0012,-30.552,5.37e-205
"ascriptive_membership","M2","lr",0.1889,0.0047,40.015,0
"ascriptive_membership","M2","z_content",0.1488,0.0028,53.546,0
"ascriptive_membership","M2","dr_cwc:z_content",0.0914,0.0212,4.305,1.67e-05
"ascriptive_membership","M3","(Intercept)",0.3685,0.0039,95.28,0
"ascriptive_membership","M3","dr_cwc",-0.0415,0.021,-1.976,0.0482
"ascriptive_membership","M3","dr_cm_c",0.0187,0.059,0.317,0.751
"ascriptive_membership","M3","age_z",0.0248,0.0012,21.224,5.71e-100
"ascriptive_membership","M3","female",0.0031,0.0022,1.408,0.159
"ascriptive_membership","M3","edu_z",-0.0374,0.0012,-30.577,2.5e-205
"ascriptive_membership","M3","lr",0.1888,0.0047,39.991,0
"ascriptive_membership","M3","z_content",0.1461,0.0034,42.607,0
"ascriptive_membership","M3","z_liberal",-0.0045,0.0035,-1.301,0.193
"ascriptive_membership","M3","dr_cwc:z_content",0.088,0.027,3.262,0.00111
"ascriptive_membership","M3","dr_cwc:z_liberal",-0.0055,0.027,-0.205,0.837
"national_superiority","M1","(Intercept)",0.4777,0.012,39.816,0
"national_superiority","M1","dr_cwc",-0.0479,0.0195,-2.454,0.0141
