"outcome","model","term","est","se","t","p"
"national_pride_non_democracy","perf","(Intercept)",0.6022,0.0087,69.562,0
"national_pride_non_democracy","perf","perf_cwc",0.2551,0.0148,17.25,1.11e-66
"national_pride_non_democracy","perf","perf_cm_c",0.2278,0.085,2.681,0.00733
"national_pride_non_democracy","perf","age_z",0.0094,0.001,9.667,4.16e-22
"national_pride_non_democracy","perf","female",0.0084,0.0018,4.596,4.31e-06
"national_pride_non_democracy","perf","edu_z",-0.0091,0.001,-8.902,5.46e-19
"national_pride_non_democracy","perf","lr",0.0661,0.0039,17.004,7.72e-65
"anti_immigrant_exclusion","perf","(Intercept)",0.3924,0.0135,29.144,9.97e-187
"anti_immigrant_exclusion","perf","perf_cwc",-0.1418,0.0164,-8.633,5.96e-18
"anti_immigrant_exclusion","perf","perf_cm_c",-0.488,0.1312,-3.72,0.000199
"anti_immigrant_exclusion","perf","age_z",0.0129,0.001,13.257,4.09e-40
"anti_immigrant_exclusion","perf","female",-0.0097,0.0018,-5.293,1.21e-07
"anti_immigrant_exclusion","perf","edu_z",-0.031,0.001,-30.439,1.67e-203
"anti_immigrant_exclusion","perf","lr",0.2408,0.0039,61.876,0
"national_superiority","perf","(Intercept)",0.4793,0.0124,38.528,0
"national_superiority","perf","perf_cwc",0.1427,0.0152,9.377,6.81e-21
"national_superiority","perf","perf_cm_c",0.1824,0.124,1.471,0.141
"national_superiority","perf","age_z",0.0157,0.0011,14.543,6.44e-48
"national_superiority","perf","female",-0.0177,0.002,-8.71,3.05e-18
"national_superiority","perf","edu_z",-0.0266,0.0011,-23.578,6.5e-123
"national_superiority","perf","lr",0.1438,0.0043,33.393,1.72e-244
"ascriptive_membership","perf","(Intercept)",0.3609,0.0253,14.266,3.57e-46
"ascriptive_membership","perf","perf_cwc",-0.0165,0.0155,-1.068,0.286
"ascriptive_membership","perf","perf_cm_c",-0.3576,0.2314,-1.545,0.122
"ascriptive_membership","perf","age_z",0.0259,0.0012,21.732,1.03e-104
"ascriptive_membership","perf","female",0.0012,0.0022,0.542,0.588
"ascriptive_membership","perf","edu_z",-0.0359,0.0012,-28.739,1.26e-181
"ascriptive_membership","perf","lr",0.2044,0.0048,42.963,0
"civic_membership","perf","(Intercept)",0.7337,0.0078,94.399,0
"civic_membership","perf","perf_cwc",0.0843,0.0139,6.07,1.28e-09
"civic_membership","perf","perf_cm_c",0.0407,0.0761,0.535,0.593
"civic_membership","perf","age_z",0.0211,0.001,20.918,3.64e-97
"civic_membership","perf","female",-2e-04,0.0019,-0.092,0.927
"civic_membership","perf","edu_z",-0.0035,0.0011,-3.302,0.000961
"civic_membership","perf","lr",0.1266,0.004,31.388,2.96e-216
