group,group_label,predictor,predictor_label,outcome,outcome_label,within_country_weighted_corr,p_value,sig,formatted_corr,n_eff,pairwise_n,median_country_corr,mean_country_corr,n_negative,n_positive,n_countries,adjusted_wls_beta,adjusted_model_n
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.05141689868664082,5.364461710357339e-18,***,-0.05***,28236.85321361037,42986,-0.06256482486284613,-0.047872771920583576,19,10,29,-0.03770912585887681,37178
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",civic_membership,Civic national membership,0.015132732163369939,0.011039001320536227,*,0.02*,28204.684196103277,42929,-0.0016763168338949671,0.004380468062438569,15,14,29,0.03441484105909365,37139
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.06334702026897218,2.0163292933633324e-26,***,-0.06***,28138.96108503732,42824,-0.06626309873256397,-0.0670320469436358,21,8,29,-0.04897394335791905,37064
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",nation_state_self_determination,Every nation should have its own state,0.023185764259525555,0.00015195261447272125,***,0.02***,26685.05569833017,40659,0.020592156021173334,0.02605335920855979,12,17,29,0.04759922771131908,35475
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",protective_sovereignty,Protectionist/sovereigntist nationalism,-0.016469998490939428,0.00566738835986591,**,-0.02**,28211.85146168467,42950,0.012702466920768308,-0.012727076605305806,14,15,29,-0.0012587233604515191,37155
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.14045303281032626,2.656854743328847e-124,***,-0.14***,28224.400466728133,42976,-0.1374751278467934,-0.13073756166153844,23,6,29,-0.12111627697694821,37177
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.03596693829543736,1.6639560852872152e-09,***,0.04***,28069.96470318728,42745,0.05489803881476529,0.0316634045415922,12,17,29,0.051389028178241924,37039
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,-0.017425489612288948,0.0037961098418325782,**,-0.02**,27592.32077720439,41621,-0.026349328816153577,-0.018411165059590465,18,11,29,-0.014553527903585106,36309
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,0.01132809716202927,0.059273559342770024,,0.01,27723.871178774152,42127,0.005809963543832718,0.0036534194057591045,14,15,29,-0.014451821544799126,36760
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.1342405950183279,1.625264642465467e-111,***,0.13***,27691.725199381675,42071,0.1097459889896753,0.13275647972779028,2,27,29,0.08257635127628549,36717
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.1914821549705646,2.7134075019752596e-226,***,0.19***,27613.099964102443,41977,0.1769979165546223,0.1793963056050158,1,28,29,0.15107287585666945,36649
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,nation_state_self_determination,Every nation should have its own state,-0.013889024944154164,0.024456589900127387,*,-0.01*,26240.645964384054,39955,-0.02488952565437942,-0.017070647240853817,18,11,29,-0.02712394428435333,35116
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.06651897880330687,1.5528490800356717e-28,***,-0.07***,27690.85528813632,42105,-0.07832376875705534,-0.07193449850541508,19,10,29,-0.044763603991383405,36746
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.15331347528556358,2.895775734661682e-145,***,-0.15***,27694.731084597224,42124,-0.16357804460104722,-0.15638349244471597,24,5,29,-0.13419639216023987,36765
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.35725596043458374,0.0,***,0.36***,27576.19602715953,41949,0.37458580168637684,0.35067112492382013,0,29,29,0.2596471028423829,36644
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.5720878407221989,0.0,***,0.57***,27218.57670153927,41098,0.62994578664788,0.5682140967889299,0,29,29,0.6369697248632957,36017
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.08278532622896582,2.3936674202720137e-36,***,-0.08***,23051.879098477406,35581,-0.10335843257190581,-0.07716723203483387,18,6,24,-0.06161056993189895,31026
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",civic_membership,Civic national membership,-0.02464112736365589,0.00018447383263221797,***,-0.02***,23024.679830269433,35532,-0.06663641900684913,-0.033200196651140365,15,9,24,0.004577710028513593,30995
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.09422269581548737,1.6915648085510954e-46,***,-0.09***,22991.106246128664,35466,-0.0996761340250826,-0.09152059537324564,20,4,24,-0.07398436835253719,30942
