group,group_label,predictor,predictor_label,outcome,outcome_label,within_country_weighted_corr,p_value,sig,formatted_corr,n_eff,pairwise_n,median_country_corr,mean_country_corr,n_negative,n_positive,n_countries,adjusted_wls_beta,adjusted_model_n
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.1342405950183279,1.625264642465467e-111,***,0.13***,27691.725199381675,42071,0.1097459889896753,0.13275647972779028,2,27,29,0.08257635127628549,36717
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.1914821549705646,2.7134075019752596e-226,***,0.19***,27613.099964102443,41977,0.1769979165546223,0.1793963056050158,1,28,29,0.15107287585666945,36649
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.06651897880330687,1.5528490800356717e-28,***,-0.07***,27690.85528813632,42105,-0.07832376875705534,-0.07193449850541508,19,10,29,-0.044763603991383405,36746
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.15331347528556358,2.895775734661682e-145,***,-0.15***,27694.731084597224,42124,-0.16357804460104722,-0.15638349244471597,24,5,29,-0.13419639216023987,36765
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.35725596043458374,0.0,***,0.36***,27576.19602715953,41949,0.37458580168637684,0.35067112492382013,0,29,29,0.2596471028423829,36644
all_issp,All ISSP countries,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.5720878407221989,0.0,***,0.57***,27218.57670153927,41098,0.62994578664788,0.5682140967889299,0,29,29,0.6369697248632957,36017
democracies,All democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.1469164954966563,1.7101682250773105e-109,***,0.15***,22652.06127275795,34901,0.13169310873604045,0.14101759470507477,1,23,24,0.09963826718482771,30675
democracies,All democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.19142757971495306,1.5226489160845454e-185,***,0.19***,22607.919886750624,34847,0.178502540598747,0.1815810786886256,0,24,24,0.15965110755283707,30630
democracies,All democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.10059022300595484,4.903798953725371e-52,***,-0.10***,22656.42610149759,34938,-0.1455662047442729,-0.10300874420886459,18,6,24,-0.05906128822122092,30701
democracies,All democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.17817689100262685,4.494989148585833e-161,***,-0.18***,22672.520797306977,34971,-0.18823853092142334,-0.18215025367768553,21,3,24,-0.14464792337678123,30730
democracies,All democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3675870514143851,0.0,***,0.37***,22548.218521996216,34793,0.381304415295939,0.36085979558472775,0,24,24,0.2690467565506012,30609
democracies,All democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.6096450002699854,0.0,***,0.61***,22320.5967819611,34168,0.6386888256889796,0.606217347990167,0,24,24,0.6779078814824198,30162
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.07777663029033947,3.0147814977911674e-08,***,0.08***,5061.849612171577,7170,0.07116185274480052,0.09310312783682477,1,4,5,0.033905751895678016,6042
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.1919897486685235,6.164091608787056e-43,***,0.19***,5026.459605197303,7130,0.11044413015196049,0.16890939480368855,1,4,5,0.13416081739692043,6019
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.09069156431129503,1.0395369617495599e-10,***,0.09***,5057.080866344804,7167,0.09342660956786243,0.07722188087114251,1,4,5,0.031421720378502105,6045
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.023146652420720868,0.10021263691434973,,-0.02,5044.672418336403,7153,-0.08710463361140143,-0.03270303852646213,3,2,5,-0.036679103209998676,6035
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.31400101574577155,5.630458459342479e-116,***,0.31***,5050.801280020556,7156,0.2168329827522302,0.30176550575146355,0,5,5,0.2183455383809596,6035
non_democracies,All non-democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.4147915853147821,8.174817536162416e-204,***,0.41***,4917.4354309681885,6930,0.3219465677036688,0.38579849102299185,0,5,5,0.4247688569070882,5855
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.1472377472335117,4.722144935052537e-68,***,0.15***,13866.935326736726,22263,0.1321611723129312,0.1433671704635073,0,15,15,0.10231825254312454,19434
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.15659078987349803,1.397924602468301e-76,***,0.16***,13819.603485268379,22210,0.14913467305042358,0.15166064584464536,0,15,15,0.14434316642116052,19398
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.1847115293983463,1.1136462906195208e-106,***,-0.18***,13867.250843754771,22298,-0.1786423031584776,-0.1844922349773272,15,0,15,-0.11858118323628464,19462
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.22225196335850092,5.642978209992803e-155,***,-0.22***,13886.491068905814,22332,-0.23299133372968256,-0.2302109523847871,14,1,15,-0.17881422795576896,19492
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3870456166560566,0.0,***,0.39***,13775.127845985202,22174,0.3895535752019533,0.3822146908938651,0,15,15,0.28798530390822474,19381
western_democracies,Western democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.6656800231327026,0.0,***,0.67***,13635.93632142948,21738,0.6623615745175968,0.6588601723607492,0,15,15,0.7387762689664923,19074
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.08398269927584201,2.9579126982666104e-07,***,0.08***,3714.9439968972447,4598,0.09984601349193761,0.08443352477759339,1,3,4,0.07524225220565661,3854
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.20160458665719755,2.2148804453415128e-35,***,0.20***,3716.061779217372,4598,0.19716413011077652,0.1999005553473869,0,4,4,0.18014217621447504,3850
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.050858477370298104,0.0019230325312535148,**,-0.05**,3717.4913896988614,4599,-0.03004852973892511,-0.05214364426444593,2,2,4,-0.015887872770753653,3856
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19569315090759457,1.8814848268628554e-33,***,-0.20***,3722.5724034323503,4606,-0.18978107474943112,-0.19421648864917893,4,0,4,-0.14116542961935874,3860
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3119917830759321,1.4680885034543332e-84,***,0.31***,3709.9208343485384,4590,0.2682631237538192,0.3026431887816174,0,4,4,0.22693651873813536,3849
east_europe_democracies,Eastern Europe democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.5548505043624783,3.577488137549059e-292,***,0.55***,3629.21114540697,4494,0.5707511085763933,0.5571658901223416,0,4,4,0.6119467449892535,3785
east_europe_non_democracies,Eastern Europe non-democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.08100310162132517,0.0016907671431887492,**,0.08**,1499.9949768778156,2416,0.12467342225094398,0.12467342225094398,1,1,2,0.006440491762309097,1959
east_europe_non_democracies,Eastern Europe non-democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.400734905221141,8.502439301550626e-59,***,0.40***,1495.7395512587668,2409,0.39171756745230446,0.39171756745230446,0,2,2,0.26233496177793336,1958
east_europe_non_democracies,Eastern Europe non-democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.14759023592852,9.33297023706563e-09,***,0.15***,1499.7753277139211,2417,0.1467895879336686,0.1467895879336686,0,2,2,0.028233659034421432,1961
east_europe_non_democracies,Eastern Europe non-democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.02647529482914887,0.3054088502780822,,-0.03,1500.5690411979194,2417,-0.03880616673288337,-0.03880616673288337,1,1,2,-0.07504581454322623,1960
east_europe_non_democracies,Eastern Europe non-democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.4910144822602876,1.1576819433937557e-91,***,0.49***,1496.9825488652905,2409,0.4826355805866853,0.4826355805866853,0,2,2,0.29884446474012627,1955
east_europe_non_democracies,Eastern Europe non-democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.6229713272222741,2.3138363981680456e-157,***,0.62***,1456.7628120414663,2324,0.6006055804466506,0.6006055804466506,0,2,2,0.568365594493556,1908
east_asia_democracies,East Asian democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.1593535713628844,2.0996964646391698e-14,***,0.16***,2274.384630354843,2774,0.1280943746803525,0.1280943746803525,0,2,2,0.11743336799499104,2558
east_asia_democracies,East Asian democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.29702992925744304,1.551614607968563e-47,***,0.30***,2273.4836211289376,2773,0.2538630039817239,0.2538630039817239,0,2,2,0.23274699792322462,2557
east_asia_democracies,East Asian democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.0865882718624224,3.55052974801306e-05,***,0.09***,2274.384630354843,2774,0.06405456179512498,0.06405456179512498,0,2,2,0.0517886718758831,2558
east_asia_democracies,East Asian democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.05911233237875143,0.0048021626312641195,**,-0.06**,2274.384630354843,2774,-0.05300109956257518,-0.05300109956257518,2,0,2,-0.03903920597005506,2558
east_asia_democracies,East Asian democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.3364521692189751,3.228037371727798e-61,***,0.34***,2270.802618125589,2770,0.30557175231186173,0.30557175231186173,0,2,2,0.24080635371308112,2556
east_asia_democracies,East Asian democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.468016282291246,1.6737189469157545e-122,***,0.47***,2243.4289984648617,2731,0.412678862594397,0.412678862594397,0,2,2,0.5312881531167957,2526
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.0755023499205968,2.3613688667771124e-06,***,0.08***,3899.0104996713835,4754,0.07116185274480052,0.07205626489407863,0,3,3,0.05002097785939341,4083
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.01784539265982448,0.26726759599056,,0.02,3866.4980925574223,4721,0.03410624006388086,0.020370613037944647,1,2,3,0.02232911517291747,4061
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.031297504400308054,0.05082235139957493,,0.03,3894.4022635558836,4750,0.009839377235678815,0.030843409496125126,1,2,3,0.011818419654581191,4084
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.019867052395428825,0.21597759399482191,,-0.02,3880.3757876759523,4736,-0.08710463361140143,-0.028634286388847973,2,1,3,-0.02355108836100328,4075
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.17799914094948555,4.5478908547689105e-29,***,0.18***,3891.844654999307,4747,0.20559856764612883,0.18118545586131576,0,3,3,0.141303176155696,4080
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.24680854815676934,1.1537775709893475e-53,***,0.25***,3787.083843075285,4606,0.29181633749291735,0.2425937647405528,0,3,3,0.28480684065494,3947
other_democracies,Other democracies,democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,0.21772453193140728,6.63733994285286e-32,***,0.22***,2847.910130437152,5266,0.2617934057993817,0.2133306224993687,0,3,3,0.13711433497403425,4829
other_democracies,Other democracies,democracy_works_today,Perceived performance of democracy today,national_superiority,National superiority and unconditional support,0.2649674278063955,5.137410085513493e-47,***,0.26***,2851.2756751686343,5266,0.191708577885756,0.2585693238347796,0,3,3,0.18993147154807577,4825
other_democracies,Other democracies,democracy_works_today,Perceived performance of democracy today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.12677364619821233,1.1022612365421453e-11,***,0.13***,2850.1361572296923,5267,0.1700004938087278,0.12521303903823058,1,2,3,0.06744390408717749,4825
other_democracies,Other democracies,democracy_works_today,Perceived performance of democracy today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.009255252251277978,0.621865379534876,,-0.01,2842.155855490059,5259,0.005023301970115378,-0.011857882923593452,1,2,3,-0.027128501301261654,4820
other_democracies,Other democracies,democracy_works_today,Perceived performance of democracy today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.36699320162458443,1.9446316553620335e-91,***,0.37***,2845.4579451196028,5259,0.37458580168637684,0.368566156958432,0,3,3,0.26860350764333196,4823
other_democracies,Other democracies,democracy_works_today,Perceived performance of democracy today,pride_democracy,Pride in the way democracy works,0.531781517973054,9.658007225351231e-209,***,0.53***,2862.4927755623103,5205,0.4822097567500801,0.5374308268915373,0,3,3,0.5935046286393759,4777
