group,group_label,predictor,predictor_label,outcome,outcome_label,within_country_weighted_corr,p_value,sig,formatted_corr,n_eff,pairwise_n,median_country_corr,mean_country_corr,n_negative,n_positive,n_countries,adjusted_wls_beta,adjusted_model_n
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.05141689868664082,5.364461710357339e-18,***,-0.05***,28236.85321361037,42986,-0.06256482486284613,-0.047872771920583576,19,10,29,-0.03770912585887681,37178
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.06334702026897218,2.0163292933633324e-26,***,-0.06***,28138.96108503732,42824,-0.06626309873256397,-0.0670320469436358,21,8,29,-0.04897394335791905,37064
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.14045303281032626,2.656854743328847e-124,***,-0.14***,28224.400466728133,42976,-0.1374751278467934,-0.13073756166153844,23,6,29,-0.12111627697694821,37177
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.03596693829543736,1.6639560852872152e-09,***,0.04***,28069.96470318728,42745,0.05489803881476529,0.0316634045415922,12,17,29,0.051389028178241924,37039
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.08278532622896582,2.3936674202720137e-36,***,-0.08***,23051.879098477406,35581,-0.10335843257190581,-0.07716723203483387,18,6,24,-0.06161056993189895,31026
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.09422269581548737,1.6915648085510954e-46,***,-0.09***,22991.106246128664,35466,-0.0996761340250826,-0.09152059537324564,20,4,24,-0.07398436835253719,30942
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.17571288115944508,2.8587163837080407e-159,***,-0.18***,23058.76153271668,35593,-0.19076161868075037,-0.16647395095590653,21,3,24,-0.1484618561229034,31040
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.011170442164707188,0.09091114516711542,,0.01,22906.9302896529,35371,0.00044385440151093174,0.011411337866089437,12,12,24,0.02924340424243077,30903
non_democracies,All non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,0.08827406480612116,1.7391201479846303e-10,***,0.09***,5210.304016108187,7405,0.07716715935130795,0.09274063662781787,1,4,5,0.0918451772671176,6152
non_democracies,All non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,0.050195781999570456,0.00030479237058821356,***,0.05***,5171.649657405048,7358,0.06123053184029355,0.050512985518491406,1,4,5,0.04814450208244736,6122
non_democracies,All non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,0.03232508348422714,0.019865883824203286,*,0.03*,5190.317262256824,7383,0.026477147853584647,0.04079710695142828,2,3,5,0.0202116056276207,6137
non_democracies,All non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.13379950879398583,3.722223671548047e-22,***,0.13***,5187.969893378656,7374,0.08079324375174363,0.12887332458400547,0,5,5,0.12077223724065433,6136
western_democracies,Western democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,-0.14799624255509822,3.74344608309775e-70,***,-0.15***,14159.08026661769,22811,-0.16000602658776775,-0.14748774406449075,14,1,15,-0.11169762083442514,19729
