"issp_code","country_name","country_text_id","v2x_regime","row_2023","v2x_polyarchy","v2x_liberal","v2x_libdem","v2x_partipdem"
208,"Denmark","DNK",3,"Liberal democracy",0.916,0.977,0.884,0.702
752,"Sweden","SWE",3,"Liberal democracy",0.881,0.978,0.845,0.63
756,"Switzerland","CHE",3,"Liberal democracy",0.887,0.962,0.841,0.787
578,"Norway","NOR",3,"Liberal democracy",0.884,0.953,0.833,0.636
246,"Finland","FIN",3,"Liberal democracy",0.865,0.971,0.825,0.605
554,"New Zealand","NZL",3,"Liberal democracy",0.878,0.951,0.825,0.66
276,"Germany","DEU",3,"Liberal democracy",0.854,0.969,0.812,0.616
250,"France","FRA",3,"Liberal democracy",0.876,0.93,0.81,0.611
36,"Australia","AUS",3,"Liberal democracy",0.855,0.957,0.804,0.637
528,"Netherlands","NLD",3,"Liberal democracy",0.843,0.951,0.79,0.577
40,"Austria","AUT",2,"Electoral democracy",0.846,0.928,0.777,0.597
840,"United States of America","USA",3,"Liberal democracy",0.843,0.924,0.771,0.603
124,"Canada","CAN",2,"Electoral democracy",0.848,0.878,0.746,0.59
380,"Italy","ITA",3,"Liberal democracy",0.816,0.907,0.732,0.634
703,"Slovakia","SVK",2,"Electoral democracy",0.817,0.9,0.73,0.595
440,"Lithuania","LTU",2,"Electoral democracy",0.788,0.94,0.726,0.577
158,"Taiwan","TWN",3,"Liberal democracy",0.823,0.88,0.723,0.644
705,"Slovenia","SVN",2,"Electoral democracy",0.757,0.871,0.655,0.564
191,"Croatia","HRV",2,"Electoral democracy",0.744,0.877,0.646,0.504
376,"Israel","ISR",2,"Electoral democracy",0.72,0.887,0.63,0.472
410,"South Korea","KOR",3,"Liberal democracy",0.733,0.866,0.63,0.488
710,"South Africa","ZAF",2,"Electoral democracy",0.705,0.856,0.6,0.447
300,"Greece","GRC",2,"Electoral democracy",0.74,0.767,0.584,0.512
348,"Hungary","HUN",1,"Electoral autocracy",0.437,0.664,0.323,0.286
484,"Mexico","MEX",2,"Electoral democracy",0.549,0.473,0.307,0.387
608,"Philippines","PHL",1,"Electoral autocracy",0.434,0.605,0.299,0.289
356,"India","IND",1,"Electoral autocracy",0.373,0.624,0.273,0.234
764,"Thailand","THA",1,"Electoral autocracy",0.289,0.636,0.24,0.142
643,"Russia","RUS",1,"Electoral autocracy",0.19,0.152,0.062,0.124
